UC;UC06;;
1080060;15;14;15
1080064;16;7;SM 
1090173;0;FT ;NC 
1010003;18;7;SM 
1010023;5;FT ;NC 
1010021;6;FT ;NC 
1010024;15;6;SM 
1010034;14;8;11
1010040;0;FT ;NC 
1010056;14;13;14
1010058;0;FT ;NC 
1010074;12;10;11
1010081;0;FT ;NC 
1010068;0;FT ;NC 
1010096;0;FT ;NC 
1010092;6;FT ;NC 
1010088;14;4;9
1010101;0;FT ;NC 
